phase,run_index,concurrency,rep,start_utc,end_utc,wall_clock_ms,completed,failed,unroutable,acknowledged,sla_timeout,peak_in_flight,wait_min_ms,wait_avg_ms,wait_max_ms,throughput_per_sec,dispatch_timeout_warnings,cadence_cpu_pct,cassandra_cpu_pct,load_avg_1m
phase-a,1,1,3,2026-09-21T19:19:29Z,2026-09-21T19:19:42Z,12533.0,100,0,0,0,0,1,85.0,125.0,398.0,7.98,0,7.66,12.21,2.89
phase-a,2,10,2,2026-09-21T19:20:17Z,2026-09-21T19:20:23Z,5377.0,100,0,0,0,0,10,119.0,514.0,667.0,18.60,0,5.67,12.56,3.47
phase-a,3,5,2,2026-09-21T19:20:59Z,2026-09-21T19:21:07Z,7686.0,100,0,0,0,0,5,85.0,376.0,613.0,13.01,0,9.32,12.56,3.82
phase-a,4,25,1,2026-09-21T19:21:43Z,2026-09-21T19:21:47Z,3048.0,100,0,0,0,0,25,122.0,699.0,917.0,32.80,0,13.67,10.35,4.26
phase-a,5,10,3,2026-09-21T19:22:24Z,2026-09-21T19:22:29Z,5479.0,100,0,0,0,0,10,114.0,521.0,687.0,18.25,0,15.71,10.70,3.57
phase-a,6,5,3,2026-09-21T19:23:06Z,2026-09-21T19:23:14Z,7554.0,100,0,0,0,0,5,75.0,372.0,648.0,13.24,0,7.25,16.56,4.64
phase-a,7,10,1,2026-09-21T19:23:52Z,2026-09-21T19:23:57Z,5293.0,100,0,0,0,0,10,165.0,509.0,668.0,18.89,0,8.62,11.03,5.13
phase-a,8,25,2,2026-09-21T19:24:36Z,2026-09-21T19:24:39Z,3192.0,100,0,0,0,0,25,199.0,741.0,1046.0,31.33,0,15.21,15.47,4.13
phase-a,9,1,2,2026-09-21T19:25:18Z,2026-09-21T19:25:30Z,12312.0,100,0,0,0,0,1,88.0,123.0,401.0,8.12,0,5.00,8.07,3.68
phase-a,10,25,3,2026-09-21T19:26:10Z,2026-09-21T19:26:13Z,3288.0,100,0,0,0,0,25,157.0,746.0,1085.0,30.42,0,19.31,13.69,4.64
phase-a,11,1,1,2026-09-21T19:26:53Z,2026-09-21T19:27:06Z,12938.0,100,0,0,0,0,1,85.0,129.0,402.0,7.73,0,5.05,4.25,5.20
phase-a,12,5,1,2026-09-21T19:27:47Z,2026-09-21T19:27:55Z,7689.0,100,0,0,0,0,5,79.0,377.0,613.0,13.01,0,11.51,2.25,3.74
phase-b,1,1,3,2026-09-21T19:31:11Z,2026-09-21T19:31:24Z,12644.0,100,0,0,0,0,1,71.0,126.0,405.0,7.91,0,5.41,22.15,4.67
phase-b,2,10,2,2026-09-21T19:31:57Z,2026-09-21T19:32:02Z,5241.0,100,0,0,0,0,10,75.0,510.0,653.0,19.08,0,9.41,18.69,4.32
phase-b,3,5,2,2026-09-21T19:32:36Z,2026-09-21T19:32:43Z,7512.0,100,0,0,0,0,5,67.0,368.0,616.0,13.31,0,4.32,14.23,6.15
phase-b,4,25,1,2026-09-21T19:33:17Z,2026-09-21T19:33:20Z,2773.0,100,0,0,0,0,25,71.0,631.0,798.0,36.06,0,1.65,26.13,5.73
phase-b,5,10,3,2026-09-21T19:33:53Z,2026-09-21T19:33:58Z,5322.0,100,0,0,0,0,10,61.0,496.0,660.0,18.79,0,13.33,12.44,5.33
phase-b,6,5,3,2026-09-21T19:34:32Z,2026-09-21T19:34:39Z,7667.0,100,0,0,0,0,5,66.0,371.0,611.0,13.04,0,4.00,14.05,5.38
phase-b,7,10,1,2026-09-21T19:35:13Z,2026-09-21T19:35:18Z,5382.0,100,0,0,0,0,10,67.0,507.0,692.0,18.58,0,7.32,10.09,5.04
phase-b,8,25,2,2026-09-21T19:35:52Z,2026-09-21T19:35:55Z,2839.0,100,0,0,0,0,25,77.0,639.0,902.0,35.22,0,9.32,24.99,4.31
phase-b,9,1,2,2026-09-21T19:36:28Z,2026-09-21T19:36:42Z,13964.0,100,0,0,0,0,1,71.0,140.0,403.0,7.16,0,3.84,13.03,4.19
phase-b,10,25,3,2026-09-21T19:37:15Z,2026-09-21T19:37:18Z,2884.0,100,0,0,0,0,25,72.0,677.0,949.0,34.67,0,11.40,35.03,3.41
phase-b,11,1,1,2026-09-21T19:37:52Z,2026-09-21T19:38:05Z,13195.0,100,0,0,0,0,1,73.0,132.0,399.0,7.58,0,4.40,9.45,3.92
phase-b,12,5,1,2026-09-21T19:38:38Z,2026-09-21T19:38:46Z,7714.0,100,0,0,0,0,5,64.0,378.0,634.0,12.96,0,4.34,13.65,4.99
